ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 6425,,,17 37 56,17h37m56s,121 28.0,-31 28,-31°28',"a cluster, pretty small, a little rich, a little compressed, stars from 10th to 12th magnitude"
NGC 6426,,,17 37 56,17h37m56s,86 45.9,3 14.1,3°14.1',"very faint, considerably large, extended, very little brighter middle"
NGC 6427,,,17 37 57,17h37m57s,64 25,25 35,25°35',"very faint, very small, stellar"
NGC 6428,,,17 38 13,17h38m13s,64 24,25 36,25°36',"very faint, small, stellar"
NGC 6429,,,17 38 22,17h38m22s,64 34,25 26,25°26',"faint, small, stellar"
NGC 6430,,,17 38 27,17h38m27s,71 47,18 13,18°13',"very faint, small, much extended"
NGC 6431,,,17 38 35,17h38m35s,64 25.5,25 34.5,25°34.5',"very faint, very small, round"
NGC 6432,,,17 38 46,17h38m46s,114 49.9,-24 49.9,-24°49.9',"a cluster, stars very small"
NGC 6433,,,17 39 08,17h39m08s,53 09,36 51,36°51',"very faint, small, pretty much extended, brighter middle"
NGC 6434,,,17 39 12,17h39m12s,17 49.4,72 10.6,72°10.6',"very faint, very small, round, stellar, 8th magnitude star to south"
NGC 6435,,,17 39 15,17h39m15s,27 16.3,62 43.7,62°43.7',"most extremely faint, very small, round, very faint double star near to east"
NGC 6436,,,17 39 34,17h39m34s,29 28.2,60 31.8,60°31.8',"most extremely faint, pretty small, a little extended, triple star near"
NGC 6437,,,17 39 40,17h39m40s,125 22.8,-35 22.8,-35°22.8',"a cluster, faint, extremely large, very small stars and nebula"
NGC 6438,,,17 39 43,17h39m43s,175 24.4,-85 24.4,-85°24.4',"pretty bright, round, very gradually brighter middle"
NGC 6439,,,17 40 13,17h40m13s,106 26,-16 26,-16°26',"a planetary nebula, stellar object equivalent to 13th magnitude star"
NGC 6440,,,17 40 34,17h40m34s,110 18.5,-20 18.5,-20°18.5',"pretty bright, pretty large, round, brighter middle"
NGC 6441,,,17 40 42,17h40m42s,127 00.1,-37 00.1,-37°00.1',"a globular cluster, very bright, pretty large, round, very gradually much brighter middle, well resolved, clearly consisting of stars, stars from 18th magnitude"
NGC 6442,,,17 40 50,17h40m50s,69 10,20 50,20°50',"pretty faint, small, irregularly round, gradually brighter middle"
NGC 6443,,,17 40 55,17h40m55s,41 48.8,48 11.2,48°11.2',"extremely faint, pretty small, a little extended"
NGC 6444,,,17 40 55,17h40m55s,124 48.8,-34 48.8,-34°48.8',"a cluster, very large, very rich, stars from 12th to 13th magnitude"
NGC 6445,,,17 40 57,17h40m57s,109 57.5,-19 57.5,-19°57.5',"pretty bright, pretty small, round, gradually brighter middle, mottled but not resolved, 15th magnitude star to northwest"
NGC 6446,,,17 41 10,17h41m10s,54 22,35 38,35°38',"extremely faint, very small, irregularly round"
NGC 6447,,,17 41 20,17h41m20s,54 22,35 38,35°38',"very faint, small, round"
NGC 6448,,,17 41 23,17h41m23s,36 24.1,53 35.9,53°35.9',"very faint, pretty small, round, a little brighter middle"
NGC 6449,,,17 41 24,17h41m24s,33 08.0,56 52,56°52',"very faint, pretty small, round"
NGC 6450,,,17 41 25,17h41m25s,71 22.3,18 37.7,18°37.7',"very faint, very small, bright star 2 arcmin to east"
NGC 6451,,,17 41 41,17h41m41s,120 10.2,-30 10.2,-30°10.2',"a cluster, pretty large, pretty rich, bifid, stars from 12th magnitude"
NGC 6452,,,17 41 57,17h41m57s,69 05,20 55,20°55',"most extremely faint, small"
NGC 6453,,,17 42 00,17h42m00s,124 34.7,-34 34.7,-34°34.7',"considerably large, irregularly round, pretty much brighter middle, mottled but not resolved"
NGC 6454,,,17 42 02,17h42m02s,34 14.1,55 45.9,55°45.9',"very faint, pretty small, round, a little brighter middle"
NGC 6455,,,17 42 38,17h42m38s,125 20.7,-35 20.7,-35°20.7',"a cluster, partially resolved (some stars seen), stars extremely small plus nebula"
NGC 6456,,,17 42 44,17h42m44s,22 20.0,67 40,67°40',"most extremely faint, extremely small, round, very difficult, between 2 stars"
NGC 6457,,,17 42 45,17h42m45s,23 27.9,66 32.1,66°32.1',"faint, very small, round, brighter middle"
NGC 6458,,,17 43 10,17h43m10s,69 08,20 52,20°52',"extremely faint, very small, stellar"
NGC 6459,,,17 43 12,17h43m12s,34 10.0,55 50,55°50',"extremely faint, extremely small, round, mottled but not resolved"
NGC 6460,,,17 43 30,17h43m30s,69 11,20 49,20°49',"very faint, pretty large, irregularly round"
NGC 6461,,,17 43 35,17h43m35s,16 32.3,73 27.7,73°27.7',"extremely faint, pretty small, round, 5 stars near"
NGC 6462,,,17 43 44,17h43m44s,28 01.4,61 58.6,61°58.6',"faint, extremely small, round, a planetary nebula?"
NGC 6463,,,17 43 59,17h43m59s,22 21.3,67 38.7,67°38.7',"most extremely faint, small, round, very difficult, 2nd of 6"
NGC 6464,,,17 44 13,17h44m13s,29 01.9,60 58.1,60°58.1',"most extremely faint, pretty small, round, south of 4 stars"
NGC 6465,,,17 44 17,17h44m17s,115 21.5,-25 21.5,-25°21.5',"extremely faint, small (suspected)"
NGC 6466,,,17 44 25,17h44m25s,38 33.9,51 26.1,51°26.1',"extremely faint, very small, round, between 2 stars"
NGC 6467,,,17 44 27,17h44m27s,72 25,17 35,17°35',"very faint, very small, a little extended"
NGC 6468,,,17 44 28,17h44m28s,72 25,17 35,17°35',"very faint, small, round"
NGC 6469,,,17 44 30,17h44m30s,112 18.4,-22 18.4,-22°18.4',"a cluster, pretty rich (in Milky Way)"
NGC 6470,,,17 44 34,17h44m34s,22 20.2,67 39.8,67°39.8',"most extremely faint, very small, round, very difficult, 3rd of 6"
NGC 6471,,,17 44 34,17h44m34s,22 21.5,67 38.5,67°38.5',"most extremely faint, extremely small, round, star near, 4th of 6"
NGC 6472,,,17 44 34,17h44m34s,22 18.0,67 42,67°42',"most extremely faint, extremely small, round, very difficult, 5th of 6"
NGC 6473,,,17 44 35,17h44m35s,32 38.5,57 21.5,57°21.5',"most extremely faint, small, round, southern of 2"
NGC 6474,,,17 44 35,17h44m35s,32 38.3,57 21.7,57°21.7',"extremely faint, pretty small, round, northern of 3, 3 stars near"
NGC 6475,,,17 44 40,17h44m40s,124 46.6,-34 46.6,-34°46.6',"a cluster, very bright, pretty rich, a little compressed, stars from 7th to 12th magnitude"
NGC 6476,,,17 44 55,17h44m55s,119 05.6,-29 5.6,-29°5.6',a nebula or nebulous part of Milky Way
NGC 6477,,,17 45 09,17h45m09s,22 18.8,67 41.2,67°41.2',"most extremely faint, extremely small, round, very difficult, star near"
NGC 6478,,,17 45 21,17h45m21s,38 47.2,51 12.8,51°12.8',"pretty bright, small, very much extended, spindle"
NGC 6479,,,17 45 34,17h45m34s,35 47.8,54 12.2,54°12.2',"extremely faint, pretty small, round, 3 stars to north"
NGC 6480,,,17 45 37,17h45m37s,120 23.9,-30 23.9,-30°23.9',a nebula or nebulous part of Milky Way
NGC 6481,,,17 45 55,17h45m55s,85 47.9,4 12.1,4°12.1',"very small, brighter middle"
NGC 6482,,,17 45 58,17h45m58s,66 53.5,23 6.5,23°6.5',"a remarkable object, very faint, small, round, very suddenly very much brighter middle and very small round nucleus"
NGC 6483,,,17 46 01,17h46m01s,153 38.0,-63 38,-63°38',"faint, small, extended, brighter middle, between two 10th magnitude stars"
NGC 6484,,,17 46 03,17h46m03s,65 28.7,24 31.3,24°31.3',"extremely faint, very small, round, much brighter middle"
NGC 6485,,,17 46 38,17h46m38s,58 30.1,31 29.9,31°29.9',"very faint, very small, round"
NGC 6486,,,17 47 13,17h47m13s,60 08.8,29 51.2,29°51.2',a very small star slightly nebulous
NGC 6487,,,17 47 19,17h47m19s,60 07.6,29 52.4,29°52.4',"faint, small, round, gradually brighter middle"
NGC 6488,,,17 47 45,17h47m45s,27 43.8,62 16.2,62°16.2',"pretty faint, pretty small, extended"
NGC 6489,,,17 47 46,17h47m46s,29 53.4,60 6.6,60°6.6',"most extremely faint, pretty large, a little extended, between 2 stars"
NGC 6490,,,17 48 22,17h48m22s,71 35.8,18 24.2,18°24.2',"very faint, very small, stellar"
NGC 6491,,,17 48 25,17h48m25s,28 25.9,61 34.1,61°34.1',"pretty faint, extremely small, very faint star attached, northwestern of 2"
NGC 6492,,,17 48 31,17h48m31s,156 24.7,-66 24.7,-66°24.7',"pretty faint, small, pretty much extended 90°, 12th magnitude star attached on east"
NGC 6493,,,17 48 40,17h48m40s,28 27.3,61 32.7,61°32.7',"faint, extremely small, round, a planetary nebula?, faint star very near, southeastern of 2"
NGC 6494,,,17 48 41,17h48m41s,108 59.7,-18 59.7,-18°59.7',"a cluster, bright, very large, pretty rich, a little compressed, stars from 10th magnitude"
NGC 6495,,,17 48 42,17h48m42s,71 38.7,18 21.3,18°21.3',"faint, small, round"
NGC 6496,,,17 48 51,17h48m51s,134 13.9,-44 13.9,-44°13.9',"a nebula and cluster, pretty large, much extended, gradually a very little brighter middle"
NGC 6497,,,17 49 10,17h49m10s,30 28.4,59 31.6,59°31.6',"extremely faint, pretty small, a little extended, star close to north, northwestern of 2"
NGC 6498,,,17 49 11,17h49m11s,30 28.9,59 31.1,59°31.1',"pretty faint, pretty small, round, faint star very near, southeastern of 2"
NGC 6499,,,17 49 14,17h49m14s,71 36,18 24,18°24',a small double star in a nebula
NGC 6500,,,17 49 52,17h49m52s,71 38.3,18 21.7,18°21.7',"very faint, very small, southwestern of 2"
NGC 6501,,,17 49 56,17h49m56s,71 36.2,18 23.8,18°23.8',"very faint, very small, northeastern of 2"
NGC 6502,,,17 50 20,17h50m20s,155 24.0,-65 24,-65°24',"very faint, very small, eastern star of double star involved"
NGC 6503,,,17 50 51,17h50m51s,19 49.2,70 10.8,70°10.8',"pretty faint, large, much extended, 9th magnitude star 4 arcmin to east (Auwers 37)"
NGC 6504,,,17 50 55,17h50m55s,56 46,33 14,33°14',"faint, very much extended, suddenly brighter middle"
NGC 6505,,,17 51 02,17h51m02s,24 25.5,65 34.5,65°34.5',"most extremely faint, very small, round"
NGC 6506,,,17 51 11,17h51m11s,114 38.4,-24 38.4,-24°38.4',"a cluster, rich, extremely large, very little compressed"
NGC 6507,,,17 51 30,17h51m30s,107 23.3,-17 23.3,-17°23.3',"a cluster, pretty small, a little rich, a little compressed"
NGC 6508,,,17 52 12,17h52m12s,17 56.9,72 3.1,72°3.1',"very faint, small, 3 stars near"
NGC 6509,,,17 52 37,17h52m37s,83 42.0,6 18,6°18',"very faint, pretty large, irregularly round, a little brighter middle"
NGC 6510,,,17 52 43,17h52m43s,29 10.2,60 49.8,60°49.8',"most extremely faint, pretty small, a little extended, very difficult."
NGC 6511,,,17 53 23,17h53m23s,29 10.3,60 49.7,60°49.7',"faint, pretty large, brighter middle, (? = last one)"
NGC 6512,,,17 53 43,17h53m43s,27 20.5,62 39.5,62°39.5',"very faint, round, 1st of 3"
NGC 6513,,,17 53 51,17h53m51s,65 06.1,24 53.9,24°53.9',"very faint, very small, stellar"
NGC 6514,,,17 53 54,17h53m54s,113 01.5,-23 1.5,-23°1.5',"a magnificent or otherwise interesting object, very bright, very large, trifid, double star involved"
NGC 6515,,,17 54 08,17h54m08s,39 14.6,50 45.4,50°45.4',"very faint, very small, round, 2 bright stars near"
NGC 6516,,,17 54 09,17h54m09s,27 18.5,62 41.5,62°41.5',"very faint, very small, 2nd of 3"
NGC 6517,,,17 54 11,17h54m11s,98 57.2,-8 57.2,-8°57.2',"pretty bright, pretty large, round, partially resolved (some stars seen)"
NGC 6518,,,17 54 17,17h54m17s,61 07.5,28 52.5,28°52.5',"Two very faint close stars in very faint, very small nebula"
NGC 6519,,,17 54 23,17h54m23s,119 48.1,-29 48.1,-29°48.1',"very faint, northwest of I 49"
NGC 6520,,,17 54 36,17h54m36s,117 53.5,-27 53.5,-27°53.5',"a cluster, pretty small, rich, a little compressed, stars from 9th to 13th magnitude"
NGC 6521,,,17 54 38,17h54m38s,27 22.0,62 38,62°38',"faint, pretty large, 3rd of 3"
NGC 6522,,,17 54 40,17h54m40s,120 02.0,-30 2,-30°2',"a globular cluster, bright, pretty large, round, gradually very much brighter middle, well resolved, clearly consisting of stars, stars from 16th magnitude"
NGC 6523,,,17 55 06,17h55m06s,114 22.8,-24 22.8,-24°22.8',"a magnificent or otherwise interesting object, very bright, extremely large, extremely irregular figure, with large cluster"
NGC 6524,,,17 55 12,17h55m12s,44 04.8,45 55.2,45°55.2',"pretty faint, pretty small, a little extended"
NGC 6525,,,17 55 28,17h55m28s,78 57.1,11 2.9,11°2.9',"a cluster, poor, stars large"
NGC 6526,,,17 55 40,17h55m40s,113 27.5,-23 27.5,-23°27.5',"faint, large, extremely extended"
NGC 6527,,,17 55 40,17h55m40s,70 17.6,19 42.4,19°42.4',"most extremely faint, very small, round"
NGC 6528,,,17 55 51,17h55m51s,120 03.5,-30 3.5,-30°3.5',"a globular cluster, pretty faint, considerably small, round, gradually brighter middle, well resolved, clearly consisting of stars, stars from 16th magnitude"
NGC 6529,,,17 56 02,17h56m02s,126 18.1,-36 18.1,-36°18.1',a cluster in the Milky Way
NGC 6530,,,17 56 06,17h56m06s,114 20.0,-24 20,-24°20',"a cluster, bright, large, pretty rich, to the east of M8"
NGC 6531,,,17 56 14,17h56m14s,112 30.1,-22 30.1,-22°30.1',"a cluster, pretty rich, a little compressed, stars from 9th to 12th magnitude"
NGC 6532,,,17 56 23,17h56m23s,33 45.2,56 14.8,56°14.8',"most extremely faint, pretty small, round"
NGC 6533,,,17 56 32,17h56m32s,114 53.4,-24 53.4,-24°53.4',"extremely large, extremely irregular figure, stars to east"
NGC 6534,,,17 56 38,17h56m38s,25 41.2,64 18.8,64°18.8',"most extremely faint, pretty small, round"
NGC 6535,,,17 56 40,17h56m40s,90 17.7,-0 17.7,-0°17.7',"pretty faint, very small, very small nebulous star to west (Auwers 38)"
NGC 6536,,,17 56 55,17h56m55s,25 04.0,64 56,64°56',"very faint, pretty large, round"
NGC 6537,,,17 56 55,17h56m55s,109 51,-19 51,-19°51',"a planetary nebula, bright, small, stellar"
NGC 6538,,,17 57 10,17h57m10s,16 34.4,73 25.6,73°25.6',"extremely faint, very small, a little extended, between two extremely faint stars"
NGC 6539,,,17 57 15,17h57m15s,97 35.0,-7 35,-7°35',
NGC 6540,,,17 57 27,17h57m27s,117 49.3,-27 49.3,-27°49.3',"pretty faint, small, irregularly extended, extremely mottled but not resolved or a cluster"
NGC 6541,,,17 57 51,17h57m51s,133 43.4,-43 43.4,-43°43.4',"a globular cluster, bright, round, extremely compressed, gradually brighter middle, well resolved, clearly consisting of stars, stars from 15th to 16th magnitude"
NGC 6542,,,17 58 10,17h58m10s,28 37.9,61 22.1,61°22.1',"extremely faint, small, much extended, 2 stars to southwest"
NGC 6543,,,17 58 36,17h58m36s,23 21.7,66 38.3,66°38.3',"a planetary nebula, very bright, pretty small, suddenly brighter middle and very small nucleus"
NGC 6544,,,17 58 42,17h58m42s,115 00.9,-25 00.9,-25°00.9',"considerably faint, pretty large, irregularly round, mottled but not resolved"
NGC 6545,,,17 58 46,17h58m46s,153 47.5,-63 47.5,-63°47.5',"most extremely faint, most extremely small, round"
NGC 6546,,,17 58 48,17h58m48s,113 14.0,-23 14,-23°14',"a cluster, very large, very rich"
NGC 6547,,,17 59 26,17h59m26s,64 46.0,25 14,25°14',"faint, very small, extended, much brighter middle"
NGC 6548,,,17 59 39,17h59m39s,71 27.1,18 32.9,18°32.9',"considerably faint, small, a little extended, mottled but not resolved"
NGC 6549,,,17 59 40,17h59m40s,71 28,18 32,18°32',"very faint, pretty large, irregularly round, near III 555"
NGC 6550,,,17 59 42,17h59m42s,71 28.4,18 31.6,18°31.6',"very faint, pretty small, round, several faint stars involved, near m 361"
NGC 6551,,,18 00 05,18h00m05s,119 34.1,-29 34.1,-29°34.1',"very faint, very small, round, partially resolved (some stars seen)"
NGC 6552,,,18 00 14,18h00m14s,23 23.7,66 36.3,66°36.3',"faint, pretty small, irregularly round"
NGC 6553,,,18 00 44,18h00m44s,115 56.3,-25 56.3,-25°56.3',"a globular cluster, faint, large, a little extended, very gradually a little brighter middle, partially resolved (some stars seen), stars from 20th magnitude"
NGC 6554,,,18 00 51,18h00m51s,108 26.8,-18 26.8,-18°26.8',"a cluster, pretty rich, very little compressed, stars large and small"
NGC 6555,,,18 00 57,18h00m57s,72 24.9,17 35.1,17°35.1',"faint, large, round, very gradually a little brighter middle"
NGC 6556,,,18 01 10,18h01m10s,117 32.5,-27 32.5,-27°32.5',"faint, very large, considerably extended, a little brighter middle, partially resolved (some stars seen)"
NGC 6557,,,18 01 11,18h01m11s,116 36.7,-26 36.7,-26°36.7',"very faint, very small, round, gradually a little brighter middle"
NGC 6558,,,18 01 12,18h01m12s,121 46.8,-31 46.8,-31°46.8',"a globular cluster, pretty bright, pretty large, round, gradually a little brighter middle, well resolved, clearly consisting of stars, stars from 16th magnitude"
NGC 6559,,,18 01 24,18h01m24s,114 07.5,-24 7.5,-24°7.5',"very faint, very large, a little extended, double star involved"
NGC 6560,,,18 01 28,18h01m28s,43 07.1,46 52.9,46°52.9',"most extremely faint, pretty small, irregularly round"
NGC 6561,,,18 02 25,18h02m25s,106 49.0,-16 49,-16°49',"a cluster, large, a little compressed, stars considerably large"
NGC 6562,,,18 02 42,18h02m42s,33 45.2,56 14.8,56°14.8',"faint, pretty small, round, brighter middle, between 2 stars"
NGC 6563,,,18 02 48,18h02m48s,123 53.5,-33 53.5,-33°53.5',"a planetary nebula, faint, large, considerably extended, hazy border"
NGC 6564,,,18 02 52,18h02m52s,72 37,17 23,17°23',"extremely faint, very small"
NGC 6565,,,18 03 03,18h03m03s,118 12,-28 12,-28°12',"a planetary nebula, stellar"
NGC 6566,,,18 03 51,18h03m51s,37 44.0,52 16,52°16',"extremely faint, very small, round, 16th magnitude star near"
NGC 6567,,,18 04 02,18h04m02s,109 07,-19 7,-19°7',"a planetary nebula, stellar, 11th magnitude, in a cluster"
NGC 6568,,,18 04 21,18h04m21s,111 37.6,-21 37.6,-21°37.6',"a cluster, very large, a little compressed"
NGC 6569,,,18 04 33,18h04m33s,121 51.0,-31 51,-31°51',"a globular cluster, considerably bright, large, round, well resolved, clearly consisting of stars, stars from 15th magnitude"
NGC 6570,,,18 04 46,18h04m46s,75 56.4,14 3.6,14°3.6',"pretty faint, pretty large, round"
NGC 6571,,,18 04 51,18h04m51s,68 48,21 12,21°12',"extremely faint, very small, stellar"
NGC 6572,,,18 05 18,18h05m18s,83 10.5,6 49.5,6°49.5',"a planetary nebula, very bright, very small, round, a little hazy"
NGC 6573,,,18 05 24,18h05m24s,112 10.8,-22 10.8,-22°10.8',"a cluster, stars very small"
NGC 6574,,,18 05 30,18h05m30s,75 03,14 57,14°57',"pretty bright, small, round"
NGC 6575,,,18 05 40,18h05m40s,58 54.7,31 5.3,31°5.3',"pretty bright, small, round"
NGC 6576,,,18 05 51,18h05m51s,68 35,21 25,21°25',"extremely faint, very small"
NGC 6577,,,18 06 04,18h06m04s,68 34,21 26,21°26',"very faint, small"
NGC 6578,,,18 06 33,18h06m33s,110 19,-20 19,-20°19',"a planetary nebula, stellar, equal to 13th magnitude star"
NGC 6579,,,18 06 35,18h06m35s,68 36,21 24,21°24',"faint, western of double nebula"
NGC 6580,,,18 06 37,18h06m37s,68 36,21 24,21°24',"faint, eastern of double nebula"
NGC 6581,,,18 06 51,18h06m51s,64 22.8,25 37.2,25°37.2',"extremely faint, diffuse, between 2 faint stars"
NGC 6582,,,18 07 23,18h07m23s,40 06.8,49 53.2,49°53.2',"most extremely faint, pretty small, round"
NGC 6583,,,18 07 24,18h07m24s,112 10.4,-22 10.4,-22°10.4',"a cluster, pretty rich, pretty compressed, considerably extended, stars from 13th magnitude"
NGC 6584,,,18 07 25,18h07m25s,142 15.2,-52 15.2,-52°15.2',"a globular cluster, considerably bright, considerably large, round, gradually much brighter middle, well resolved, clearly consisting of stars, stars from 15th magnitude"
