No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N6222,4240,3650,...,Dunlop 456?,16,40,41,,+4.31,134,28.6,,+6.7,"Cl, vL, vRi, lbM, st 12...13",...
N6223,4241,...,...,d'A,16,41,24,,+0.72,28,09.3,,+6.7,"F, S, R, mbM",...
N6224,...,...,...,Sw VI,16,41,37,,+2.93,83,25.7,,+6.6,"eeF, vS, lE, pB * nr n, n of 2",...
N6225,...,...,...,Sw VI,16,41,39,,+2.93,83,31.2,,+6.6,"eF, vS, lE, F st inv, s of 2",...
N6226,4242,...,...,d'A,16,41,47,,+0.68,27,46.0,,+6.7,"F, S, triangle with 2 st 12 & 14",...
N6227,4243,3651,...,...,16,41,52,,+4.17,130,58.7,,+6.6,"Cl, eL, eRi (Milky Way)",...
N6228,5830,...,...,m 317,16,42,18,,+2.44,63,33,,+6.6,"vF, S",...
N6229,4244,...,IV 50,Schultz,16,43,03,,+1.68,42,13.3,,+6.6,"GC, vB, L, R, disc & F border, r",...
N6230,...,...,...,Sw IV,16,43,47,,+2.96,85,07.8,,+6.5,"eeF, pS, R, v diffic",...
N6231,4245,3652,...,"Halley,LII13,D499",16,44,15,,+4.20,131,33.6,,+6.4,"Cl, B, cL, pRi, st 10...13",...
N6232,...,...,...,Sw I,16,44,22,,-0.57,19,06.8,,+6.5,"pF, pL, lE",...
N6233,...,...,...,St XI,16,44,24,,+2.51,66,10.6,,+6.4,"pF, S, R, gbM",...
N6234,5831,...,...,m 318,16,45,01,,+2.97,85,24,,+6.4,"F, S, R",...
N6235,4246,3653,II 584,...,16,45,03,,+3.58,111,56.3,,+6.4,"pB, cL, iR, rrr, st 14...16",...
N6236,...,...,...,Sw I,16,45,24,,-0.60,18,58.4,,+6.4,"F, pL",...
N6237,...,...,...,Sw I,16,45,24,,-0.57,19,06.9,,+6.4,"cF, S, E",...
N6238,...,...,...,Sw IV,16,45,38,,+0.65,27,36.2,,+6.4,"eeF, eS, eF * close, v diffic",...
N6239,4247=5832,...,III 727,St VII,16,45,39,,+1.89,47,00.8,,+6.3,"vF, E, biN np sf",*
N6240,5833,...,...,"St II, Bigourdan",16,45,55,,+3.02,87,22.0,,+6.3,"vF, pL, lE, dif",*
N6241,4248,...,III 735,...,16,46,00,,+1.78,44,20.4,,+6.3,"eF, pS",...
N6242,4249,3654,...,"Lac I 10, D 520",16,46,04,,+4.11,129,16.2,,+6.2,"Cl, B, L, Ri, st 8...11",...
N6243,...,...,...,St XI,16,46,34,,+2.52,66,26.0,,+6.2,"vF, vS, iF, dif",...
N6244,...,...,...,Sw IV,16,46,38,,+0.65,27,32.7,,+6.3,"vF, vS, R, bet 2 st, nf of 2",...
N6245,...,...,...,Sw I,16,46,45,,-0.61,18,56.9,,+6.3,"vF, pL, R",...
N6246,...,...,...,Sw IV,16,46,55,,+1.21,34,12.8,,+6.3,"eF, S, R",...
N6247,4250,...,...,d'A,16,47,00,,+0.56,26,47.5,,+6.3,"F, pS, iF",...
N6248,...,...,...,Sw II,16,47,13,,-0.52,19,24.4,,+6.3,"eeF, pL, R, v diffic",...
N6249,4251,3655,...,...,16,47,34,,+4.33,134,33.3,,+6.1,"Cl, pRi, vlC, iF, st L & S",...
N6250,4252,3656,...,...,16,47,41,,+4.38,135,42.4,,+6.1,"Cl, L, lRi, lC, st 8...12",...
N6251,4253,...,III 974,...,16,47,55,,-6.99,7,09.0,,+6.4,"cF, S, bM, p of 2",...
N6252,4254,...,III 975,...,16,47,58,,-7.06,7,06.0,,+6.4,"vF, vS, f of 2",...
N6253,4255,3657,...,Dunlop 374?,16,48,03,,+4.73,142,28.9,,+6.1,"Cl, S, triangular, st 13",...
N6254,4256,1972=3659,...,M 10,16,49,47,,+3.16,93,52.7,,+6.0,"! GC, B, vL, R, gvmbM, rrr, st 10...15",...
N6255,4257,1973,III 689,...,16,49,48,,+2.12,53,16.8,,+6.0,"eF, cL, E 90d",...
N6256,4258,3658,...,...,16,50,09,,+4.03,126,53.5,,+5.9,"GC, vF, vL, iR, vgbM, rrr",...
N6257,4259,1974,...,...,16,50,12,,+2.01,50,09.6,,+6.0,"vF (? vS D*), F D* nf",...
N6258,...,...,...,Sw IV,16,50,31,,+0.76,29,14.4,,+6.0,"cF, vS, R, B * and D* p",...
N6259,4260,3660,...,Dunlop 456,16,50,37,,+4.33,134,26.9,,+5.9,"! Cl, B, vL, vRi, st 11...",...
N6260,...,...,...,Sw IV,16,50,43,,+0.47,26,03.0,,+5.9,"eF, pS, R, sev st nr sf",...
N6261,...,...,...,St XI,16,50,56,,+2.39,61,48.0,,+5.9,"eF, eS, iF",...
N6262,...,...,...,Sw V,16,51,03,,+1.10,32,51.0,,+5.9,"eeF, pS, R, v dific",...
N6263,5834,...,...,"m 319, St II",16,51,11,,+2.07,61,57.0,,+5.9,"vF, vS, R",...
N6264,5835,...,...,"m 320, St II",16,51,44,,+2.07,61,55.4,,+5.8,"eF, vS",...
N6265,5836,...,...,"m 321, St II",16,51,57,,+2.07,61,55.9,,+5.8,"eF, vS",...
N6266,4261,3661,...,"M 62, Dunlop 627",16,52,19,,+3.81,119,53.8,,+5.7,"! GC, vB, L, gmbM, rrr, st 14...16",#
N6267,4262,...,III 123,...,16,52,22,,+2.52,66,46.9,,+5.8,"vF, pL, R, lbM",*
N6268,4263,3662,...,Dunlop 521,16,52,26,,+4.13,129,30.8,,+5.7,"Cl, B, pL, cRi, st 10...",...
N6269,5837,...,...,"m 322, St II",16,52,26,,+2.07,61,55.3,,+5.8,"F, S, R",...
N6270,5838,...,...,"m 323, St II",16,53,12,,+2.07,61,55.2,,+5.7,"eF, S, R",...
N6271,5839,...,...,m 324,16,53,18,,+2.07,61,49,,+5.7,"vF, R",...
N6272,5840,...,...,m 325,16,53,26,,+2.07,61,52,,+5.7,vF,...
N6273,4264,1975=3663,...,M 19,16,53,59,,+3.70,116,03.2,,+5.6,"GC, vB, L, R, vCM, rrr, st 16",...
N6274,5841,...,...,m 326,16,54,08,,+2.33,60,02,,+5.6,"eF, vS",...
N6275,...,...,...,Sw IV,16,54,12,,+0.51,26,32.4,,+5.7,"eeF, S, lE, v diffic",...
N6276,5842,...,...,"m 327, St II",16,54,52,,+2.52,66,44.9,,+5.6,eF,*
N6277,5843,...,...,"m 328, St II",16,54,56,,+2.52,66,45.2,,+5.6,eF,*
N6278,4266,...,III 124,St II,16,54,58,,+2.52,66,46.8,,+5.6,"vF, stellar",...
N6279,...,...,...,Sw V,16,55,03,,+1.68,42,32.7,,+5.5,"vF, pS, lE, coarse D* np",...
N6280,5844,...,...,m 329,16,55,10,,+2.92,83,07,,+5.5,"pB, S, lE",...
N6281,4265,3664,...,Dunlop 556,16,55,16,,+4.07,127,40.9,,+5.5,"Cl, L, pRi, lC, st 9...11",...
N6282,5845,...,...,m 330,16,55,21,,+2.33,59,58,,+5.5,"vF, S, R",...
N6283,4267,...,III 728,...,16,55,53,,+1.53,39,51.6,,+5.5,"vF, cS, iR",...
N6284,4268,1976=3665,VI 11,...,16,55,56,,+3.66,114,33.8,,+5.4,"GC, B, L, R, CM, rrr, st 16...",...
N6285,...,...,...,Sw VI,16,56,07,,+0.92,30,48.8,,+5.5,"eeF, S, R, v diffic, np of 2",...
N6286,...,...,...,Sw II,16,56,17,,+0.93,30,51.0,,+5.5,"eF, pS, R",...
N6287,4269,3666,II 195,...,16,56,44,,+3.61,112,30.6,,+5.4,"GC, cB, L, R, gpmCM, rrr, st 16",...
N6288,...,...,...,Sw I,16,58,05,,-0.22,21,19.8,,+5.4,"eF, vS, R, sp of 2",...
N6289,...,...,...,Sw I,16,58,36,,-0.23,21,17.8,,+5.3,"eF, pL, mE, nf of 2",...
N6290,...,...,...,Sw II,16,58,37,,+0.92,30,49.6,,+5.3,"eF, pS, R, * close f",...
N6291,...,...,...,Sw II,16,58,37,,+0.92,30,51.6,,+5.3,"eeF, eS, R",...
N6292,...,...,...,Sw II,17,00,52,,+0.72,28,45.8,,+5.1,"eF, E, v diffic, F st nr",...
N6293,4270,1977=3667,VI 12,...,17,01,28,,+3.72,116,23.2,,+5.0,"GC, vB, L, R, psbM, rrr, st 16",...
N6294,4271,1978,...,...,17,01,34,,+3.72,116,22.6,,+5.0,"F, S, vgbM, GC p",...
N6295,...,...,...,Sw IV,17,01,36,,+0.78,29,25.6,,+5.0,"eF, S, mE, F * nr",...
N6296,5846,...,...,m 331,17,01,46,,+2.98,85,53,,+5.0,pB,...
N6297,...,...,...,Sw II,17,01,50,,+0.62,27,46.8,,+5.0,"pB, pS, R, bet 2 st, p of 2",...
N6298,...,...,...,Sw II,17,01,55,,+0.62,27,46.8,,+5.0,"vF, eS, R, bet 2 st, f of 2",...
N6299,4272,...,...,d'A,17,03,39,,+0.57,27,21.9,,+4.9,"vF, vS, R",...
N6300,4273,3668,...,...,17,03,52,,+5.59,152,39.1,,+4.7,"F, vL, vlE, am st, 2 st inv",...
N6301,4274,...,IV 57,...,17,04,10,,+1.88,47,29.3,,+4.8,"F, stellar",...
N6302,...,...,...,Barnard,17,04,17,,+4.05,126,56.1,,+4.7,"pB, E, pf (Swift: triple)",...
N6303,...,...,...,Sw I,17,05,06,,-0.23,21,27.6,,+4.8,"eF, pL, mE, nearly bet 2 st",...
N6304,4275,3670,I 147,...,17,05,40,,+3.80,119,17.3,,+4.6,"GC, B, cL, R, lbM, rrr, st 16",...
N6305,4276,3669,...,...,17,05,46,,+5.24,149,00.4,,+4.6,"vF, vS, R, glbM",...
N6306,...,...,...,Sw II,17,05,53,,+0.74,29,06.0,,+4.7,"vF, vS, lE",...
N6307,4277,...,...,"d'A, Sw II",17,05,59,,+0.73,29,04.0,,+4.7,"vF, vS, lE, *13 nr n",...
N6308,5847,...,...,m 332,17,06,08,,+2.51,66,27,,+4.6,"vF, S, R, sbM",...
N6309,5851,...,...,T I,17,06,12,,+3.36,102,44.5,,+4.6,"B, S, bet 2 st nr",...
N6310,4278,...,...,d'A,17,06,15,,+0.71,28,50.0,,+4.6,"F, pL, lE",...
N6311,5848,...,...,St VII,17,06,16,,+1.91,48,10.5,,+4.6,"pB, vS, R",...
N6312,...,...,...,St X,17,06,24,,+1.88,47,32.3,,+4.6,"eF, irr R, dif, vS * inv",...
N6313,...,...,...,Sw VI,17,06,42,,+1.61,41,27.4,,+4.6,"eeF, vS, lE, bet 2 F st",...
N6314,5849,...,...,m 333,17,06,48,,+2.51,66,33,,+4.5,"F, vS, R, bM",...
N6315,5850,...,...,m 334,17,06,53,,+2.51,66,36,,+4.5,"eF, S",...
N6316,4279,3671,I 45,...,17,07,49,,+3.77,117,58.5,,+4.4,"GC, cB, pS, R, gvmbM, rrr, st 16",...
N6317,...,...,...,Sw I,17,08,01,,+0.51,26,55.6,,+4.5,"eeF, S, R, F * nr, sp of 2",...
N6318,4280,3672,...,Dunlop 522,17,08,04,+-,+4.14,129,17.2,,+4.4,"Cl, pL, Ri, R, gbM, st 12...14",...
N6319,...,...,...,Sw I,17,08,07,,+0.51,26,51.4,,+4.5,"vF, vS, R, lbM, nf of 2",...
N6320,5852,...,...,St IV,17,08,20,,+1.96,49,34.3,,+4.4,"eF, *13 p 0.5sec",...
N6321,5853,...,...,St II,17,08,23,,+2.58,69,31.3,,+4.4,"eF, iR, pS, vlbM",...
N6322,4281,3673,...,...,17,08,45,,+4.28,132,43.5,,+4.3,"Cl, vL, pRi, lC (place of * nf)",...
N6323,5854,...,...,St VII,17,09,04,,+1.82,46,03.4,,+4.4,"eF, vS, diffic",...
N6324,4282,...,III 945,...,17,09,15,,-2.00,14,23.4,,+4.5,"vF, S, E, S * s",...
N6325,4283,3676,...,...,17,09,31,,+3.64,113,35.9,,+4.3,"pF, L, R, rr",...
N6326,4284,3675,...,...,17,09,41,,+4.72,141,35.5,,+4.2,"!!! PN, pB, vS, R",#
N6327,5855,...,...,St VII,17,09,49,,+1.82,46,11.3,,+4.3,"cF, vS, diffic",...
N6328,4285,3674,...,...,17,09,58,,+5.86,154,51.4,,+4.2,"vF, vS, vlE, glbM",...
N6329,5856,...,...,St VII,17,10,00,,+1.82,46,09.4,,+4.3,"vF, vS, R, bM",...
N6330,...,...,...,St XI,17,10,19,,+2.33,60,26.3,,+4.2,"eF, S, R",...
N6331,4286,...,III 951,...,17,10,45,,-3.50,11,12.7,,+4.4,"eF, S",...
N6332,5857,...,...,St VII,17,10,48,,+1.82,46,11.8,,+4.2,"vF, oval, ibM",...
N6333,4287,1979=3667,...,M 9,17,11,00,,+3.51,108,21.9,,+4.2,"GC, B, L, R, eCM, rrr, st 14",...
N6334,4288,3678,...,...,17,11,03,,+4.02,125,54.9,,+4.1,"cF, vL, icF, vglbf, *8 inv",...
N6335,4289,3679,...,...,17,11,36,+-,+3.83,120,00,+-,+4.1,Dif neb in patches,...
N6336,5858,...,...,St VII,17,12,03,,+1.81,46,01.7,,+4.1,"vF, vS, R, bM",...
N6337,4290,3680,...,...,17,12,40,,+4.11,128,20.0,,+4.0,"!!! AN, eF, S, am st",#
N6338,4291,...,II 812,...,17,12,41,,+1.01,32,24.1,,+4.1,"F, S, R, vglbM",...
N6339,...,...,...,Sw VI,17,12,42,,+1.93,48,58.2,,+4.0,"vF, L, iR, sp of 2",...
N6340,4292,1980,II 767,...,17,12,44,,-1.06,17,32.1,,+4.1,"cF, pL, R, vgmbM",...
N6341,4294,...,...,"M 92, LL 31544",17,12,51,,+1.84,46,42.6,,+4.0,"GC, vB, vL, eCM, rrr, st S",#
N6342,4293,...,I 149,...,17,12,55,,+3.54,109,26.5,,+4.0,"cB, pS, lE, er",...
N6343,...,...,...,Sw VI,17,12,57,,+1.93,48,46.2,,+4.0,"vF, S, lE, nf of 2",...
N6344,...,...,...,J G Lohse,17,12,57,,+1.87,47,25.0,,+4.0,"F, S, R, *12 nf, nr",...
N6345,...,...,...,Sw VI,17,12,59,,+1.02,32,27.3,,+4.0,"eeF, vS, R, 2nd of 3",...
N6346,...,...,...,Sw VI,17,13,02,,+1.02,32,29.0,,+4.0,"eeF, S, R, 3rd of 3",...
N6347,...,...,...,St XI,17,13,40,,+2.68,73,11.6,,+3.9,"cF, iR, dif",...
N6348,...,...,...,St XI,17,13,55,,+1.90,48,12.3,,+3.9,"eF, vS, iR, lbM",...
N6349,...,...,...,St X,17,14,11,,+2.11,53,47.7,,+3.9,"vF, eS, R, lbM, p of 2",...
N6350,...,...,...,St XI,17,14,16,,+1.90,48,09.6,,+3.9,"pF, pS, gbM",...
N6351,...,...,...,St X,17,14,16,,+2.11,53,47.8,,+3.9,"vF, vS, fainter than p one",...
N6352,...,...,...,"D 417, Barnard",17,14,50,,+4.54,138,20,,+3.7,"pF, L",...
N6353,...,...,...,J G Lohse,17,14,53,,+2.70,74,10.2,,+3.9,"pB, pS, 3 st st inv, *10 nf 1'",...
N6354,...,...,...,Barnard,17,15,02,,+4.11,128,24,,+3.9,"cF, S",...
N6355,4295,3681,I 46,...,17,15,16,,+3.72,116,12.7,,+3.8,"cF, L, R, gbM, rrr",...
N6356,4296,3683,I 48,...,17,15,26,,+3.49,107,40.5,,+3.8,"GC, vB, cL, vgvmbM, rrr, st 20",...
N6357,4297,3682,...,...,17,15,28,,+3.96,124,03.1,,+3.8,"F, L, E, vglbM, D* inv",...
N6358,...,...,...,Sw VI,17,15,41,,+1.35,37,13.1,,+3.8,"cF, S, R, D* nr np",...
N6359,4298,...,...,d'A,17,16,27,,+0.61,28,04.5,,+3.8,"pB, S, R, bMN = *12",...
N6360,4299,3685,...,...,17,16,28,,+3.83,119,51.6,,+3.7,Neb in patches (Milky Way),...
N6361,...,...,...,Sw IV,17,16,52,,+0.73,29,14.4,,+3.7,"vF, pS, mE, nearly bet 2 st",...
N6362,4300,3684,...,Dunlop 225,17,17,23,,+6.17,156,55.8,,+3.5,"GC, cB, L, vgmbM, rrr, st 14...17",...
N6363,...,...,...,St X,17,01,10,,+1.92,48,45.9,,+3.6,"vF, S, R, gbM",...
N6364,...,...,...,St X,17,19,01,,+2.33,60,28.7,,+3.5,"pF, vS, R, bM *13",...
N6365,...,...,...,Sw IV,17,20,16,,+0.57,27,42.3,,+3.5,"eeF, pL, iR, eF st inv, * sf",...
N6366,4301,...,...,Winnecke,17,20,19,,+3.18,94,57.0,,+3.4,"F, L, vlbM (Auw 36)",...
N6367,...,...,...,St XI,17,20,22,,+2.05,52,07.0,,+3.4,"vF * in vF, vS, R neb",...
N6368,5860,...,...,m 335,17,20,39,,+2.80,78,20,,+3.4,"F, S, E",...
N6369,4302,1981=3686,IV 11,...,17,20,49,,+3.65,113,38.5,,+3.2,"!! PN, pB, S, R",#
N6370,...,...,...,Sw I,17,20,54,,+1.04,32,53.7,,+3.5,"vF, vS, R, B * nr n",...
N6371,5861,...,...,m 336,17,21,43,,+2.41,63,22,,+3.3,"vF, S, R, np of 2",...
N6372,4303,...,III 137,m,17,21,55,,+2.41,63,24.8,,+3.2,"vF, pS, iF, sf of 2",...
N6373,...,...,...,Sw I,17,22,08,,+0.88,30,52.5,,+3.3,"eeF, pL, v diffic",...
N6374,4304,3687,...,...,17,22,58,,+3.91,122,28.8,,+3.1,"Cl, S, P, B * inv",...
N6375,5862,...,...,m 337,17,23,06,,+2.69,73,40,,+3.1,"F, vS, R",...
N6376,...,...,...,Sw IV,17,23,18,,+0.88,31,03.4,,+3.2,"eeF, eS, R, v diffic",...
N6377,...,...,...,Sw IV,17,23,23,,+0.88,31,03.1,,+3.2,"eF, eS, R, lbM",...
N6378,5863,...,...,St VII,17,23,53,,+2.93,83,36.4,,+3.1,v difficult,...
N6379,5864,...,...,m 338,17,24,20,,+2.69,73,35,,+3.0,"vF, pL",...
N6380,4305,3688,...,...,17,24,47,,+4.14,128,58.0,,+3.0,"eF, pS, lE, *9 att",#
N6381,...,...,...,Sw I,17,25,25,,+0.79,29,52.7,,+3.0,"vF, pL, E",...
N6382,...,...,...,Sw I,17,25,33,,+1.04,33,01.3,,+3.0,"pF, pS, R",...
N6383,4306,3689,...,...,17,25,34,,+3.92,122,28.6,,+2.9,"Cl, st 13, *6.7 in M",...
N6384,5865,...,...,"d'A, m339, StII",17,25,38,,+2.90,82,50.0,,+2.9,"pB, S, vlE",...
N6385,...,...,...,Sw IV,17,25,39,,+1.02,32,21.6,,+3.0,"eF, S, R, B * s",...
N6386,...,...,...,Sw I,17,25,56,,+1.33,37,10.4,,+2.9,"vF, pS, R, bet 2 st",...
N6387,...,...,...,Sw IV,17,25,59,,+1.01,32,20.6,,+2.9,"eF, S, R",...
N6388,4307,3690,...,Dunlop 457,17,26,03,,+4.38,134,38.5,,+2.8,"GC, vB, L, R, pg, psvmbM, rrr, st 17...",...
N6389,4308,...,II 901,Peters,17,26,24,,+2.68,73,30.5,,+2.9,"F, S, iF, er",...
N6390,...,...,...,Sw I,17,26,31,,+0.76,29,41.7,,+2.9,"eeF, mE, v diffic",...
N6391,...,...,...,Sw IV,17,26,33,,+0.87,31,02.2,,+2.9,"eF, vS, R, nearly bet 2 st",...
N6392,4309,3691,...,...,17,27,58,,+6.66,159,41.3,,+2.6,"cF, S, R, glbM, *13 sp",...
N6393,...,...,...,Sw I,17,28,25,,+0.80,30,15.4,,+2.7,"eF, pS, R, s of 2",...
N6394,...,...,...,Sw I,17,28,25,,+0.80,30,11.8,,+2.7,"eF, pS, R, n of 2",...
N6395,...,...,...,Sw I,17,28,50,,-0.81,18,48.2,,+2.7,"vF, pL, lE, D* n",...
N6396,4310,3693,...,...,17,28,51,,+4.00,124,54.8,,+2.6,"Cl, pL, lRi, lC",...
N6397,4311,3692,...,"Lac III 11, D366",17,29,17,,+4.87,143,35.1,,+2.5,"GC, B, vL, Ri, st 13",...
N6398,4312,3694,...,...,17,29,49,,+5.53,151,36.1,,+2.5,"eF, S, R, p of 2",...
N6399,...,...,...,Sw I,17,29,50,,+0.80,30,17.8,,+2.6,"eF, vS, R",...
N6400,4313,3696,...,Dunlop 568,17,30,02,,+4.07,126,51.1,,+2.5,"Cl, pL, pRi, iR, st 9...10",...
N6401,4314,1982=3697,I 44,...,17,30,06,,+3.66,113,49.6,,+2.5,"pB, pL, R, *12 f inv",...
N6402,4315,1983=3698,...,M 14,17,30,15,,+3.15,93,09.5,,+2.5,"!GC, B, vL, R, eRi, vgmbM, rrr, st 15",...
N6403,4316,3695,...,...,17,30,19,,+5.53,151,36.1,,+2.4,"eeF, f of 2",...
N6404,4317,4020,...,hon,17,30,26,,+3.94,123,09.3,,+2.5,"Cl, F, L, pRi, lC, st 13...15",...
N6405,4318,3699,...,"Lac III 12, M 6",17,30,56,,+3.91,122,07.1,,+2.4,"Cl, L, iR, lC, st 7, 10...",...
N6406,...,...,...,Bigourdan,17,32,14,,+2.62,71,05,,+2.4,"vF, eS, stellar",...
N6407,4319,3700,...,...,17,32,15,,+5.44,150,39.7,,+2.3,"eF, S, R, 3 st nr",...
N6408,5866,...,...,"m 340, ST II",17,32,41,,+2.62,71,02.4,,+2.3,"F, S, iR, gbM",...
N6409,...,...,...,Sw I,17,32,46,,+1.44,39,08.9,,+2.4,"vF, S, R",...
N6410,...,...,...,Sw VI,17,33,33,,+0.69,29,05.6,,+2.3,"eeF, S, R, nearly bet 2 st, sp of 2",...
N6411,4320,...,...,d'A,17,33,56,,+0.69,29,06.7,,+2.3,"vS, gbM",...
N6412,4321,...,VI 41,...,17,34,08,,-2.18,14,11.2,,+2.3,"GC, cL, R, vgbM, rr",...
N6413,5867,...,...,St II,17,34,13,,+2.77,77,18.0,,+2.2,"vF, vS, smbM",...
N6414,...,...,...,Sw III,17,34,27,,-1.70,15,33.0,,+2.3,"eeF, pS, R, v diffic bet 2 st",...
N6415,4322,3701,...,...,17,35,,,+4.00,124,56.5,,+2.1,Nebs portion of Milky Way,...
N6416,4323,3702,...,Dunlop 612,17,35,09,,+3.91,122,17.0,,+2.1,"Cl, vL, Ri, lC",...
N6417,5868,...,...,m 341,17,36,00,,+2.45,66,15,,+2.0,"pF, S, vlbM",...
N6418,...,...,...,Sw I,17,36,16,,+0.88,31,11.4,,+2.1,"eF, pS, R",...
N6419,...,...,...,Sw II,17,36,26,,-0.26,21,45.6,,+2.1,"eeF, cS, R, v diffic",...
N6420,...,...,...,Sw II,17,36,26,,-0.24,21,52.3,,+2.1,"eeF, eS, R, v diffic",...
N6421,4324,3702,...,...,17,36,30,,+3.96,123,37.6,,+1.9,"Cl, vL, pRi, st 8...12",#
N6422,...,...,...,Sw II,17,36,46,,-0.24,21,51.8,,+2.0,"eF, pS, R, nearly bet 2 st",...
N6423,...,...,...,Sw II,17,37,16,,-0.26,21,45.8,,+2.0,"eeF, vS, R, * close f",...
N6424,...,...,...,Sw II,17,37,25,,-0.59,19,56.2,,+2.0,"vF, pS, R",...
N6425,4326,3703,...,...,17,37,56,,+3.89,121,28.0,,+1.8,"Cl, pS, lRi, lC, st 10...12",...
N6426,4325=5870,...,II 587,St VII,17,37,56,,+3.00,86,45.9,,+1.8,"vF, cL, E, vlbM",...
N6427,5869,...,...,m 342,17,37,57,,+2.44,64,25,,+1.8,"vF, vS, stellar",...
N6428,...,...,...,Bigourdan,17,38,13,,+2.44,64,24,,+1.8,"vF, S, stellar",...
N6429,5871,...,...,m 343,17,38,22,,+2.44,64,34,,+1.8,"F, S, stellar",...
N6430,5872,...,...,m 344,17,38,27,,+2.63,71,47,,+1.8,"vF, S mE",...
N6431,5873,...,...,St I,17,38,35,,+2.43,64,25.5,,+1.8,"vF, vS, R",...
N6432,4327,1984,...,...,17,38,45,,+3.69,114,49.9,,+1.8,"Cl, st vS",...
N6433,5874,...,...,m 345,17,39,08,,+2.07,53,09,,+1.7,"vF, S, pmE, bM",...
N6434,4328,1987,III 741,...,17,39,12,,-1.07,17,49.4,,+1.7,"vF, vS, R, stellar, *8 s",...
N6435,...,...,...,Sw VI,17,39,15,,+0.49,27,16.3,,+1.8,"eeF, vS, R, vF D* nr f",...
N6436,...,...,...,Sw V,17,39,34,,+0.72,29,28.2,,+1.8,"eeF, pS, lE, *** nr",...
N6437,4329,3704,...,...,17,39,40,,+4.02,125,22.8,,+1.7,"Cl, F, eL, vS st + neb",...
N6438,4330,3701,...,...,17,39,43,,+19.74,175,24.4,,+1.2,"pB, R, vgbM",...
N6439,...,...,...,Pickering,17,40,13,,+3.47,106,26,,+1.6,"PN, stellar = 13 m",...
N6440,4331,1985,I 150,...,17,40,34,,+3.57,110,18.5,,+1.6,"pB, pL, R, bM",...
N6441,4332,3705,...,Dunlop 557,17,40,42,,+4.08,127,00.1,,+1.6,"GC, vB, pL, R, vgmbM, rrr, st 18",...
N6442,5875,...,...,m 346,17,40,50,,+2.57,69,10,,+1.6,"pF, S, iR, bgM",...
N6443,...,...,...,Sw V,17,40,55,,+1.58,41,48.8,,+1.6,"eF, pS, lE",...
N6444,4334,3706,...,Dunlop 597?,17,40,55,,+4.00,124,48.8,,+1.6,"Cl, vL, vRi, st 12...13",...
N6445,4333,1986,II 586,...,17,40,57,,+3.56,109,57.5,,+1.6,"pB, pS, R, gbM, r, *15 np",...
N6446,5876,...,...,m 347,17,41,10,,+2.12,54,22,,+1.6,"eF, vS, iR",...
N6447,5877,...,...,m 348,17,41,20,,+2.12,54,22,,+1.6,"vF, S, R",...
N6448,...,...,...,Sw II,17,41,23,,+1.26,36,24.1,,+1.6,"vF, pS, R, lbM",...
N6449,...,...,...,Sw I,17,41,24,,+1.03,33,08.0,,+1.6,"vF, pS, R",...
N6450,...,...,...,Sw II,17,41,25,,+2.62,71,22.3,,+1.6,"vF, vS, B * f 2'",...
N6451,4335,3707,VI 13,...,17,41,41,,+3.85,120,10.2,,+1.5,"Cl, pL, pRi, bifid, st 12...",#
N6452,5878,...,...,m 349,17,41,57,,+2.56,69,05,,+1.5,"eeF, S",...
N6453,4336,3708,...,...,17,42,00,,+3.99,124,34.7,,+1.5,"cL, iR, pmbM, r",...
N6454,...,...,...,Sw I,17,42,02,,+1.11,34,14.1,,+1.5,"vF, pS, R, lbM",...
N6455,4337,3709,...,...,17,42,38,,+4.02,125,20.7,,+1.4,"Cl, rr, st eS + neb",...
N6456,...,...,...,Sw V,17,42,44,,-0.17,22,20.0,,+1.5,"eeF, eS, R, v diffic, bet 2 st",...
N6457,...,...,...,Sw I,17,42,45,,-0.00,23,27.9,,+1.5,"F, vS, R, bM",...
N6458,5879,...,...,m 350,17,43,10,,+2.56,69,08,,+1.4,"eF, vS, stellar",...
N6459,...,...,...,Sw I,17,43,12,,+1.11,34,10.0,,+1.4,"eF, eS, R, r",...
N6460,5880,...,...,m 351,17,43,30,,+2.57,69,11,,+1.4,"vF, pL, iR",...
N6461,...,...,...,Sw V,17,43,35,,-1.42,16,32.3,,+1.5,"cF, pS, R, 5 st nr",...
N6462,...,...,...,Sw I,17,43,44,,+0.57,28,01.4,,+1.4,"F, eS, R, PN?",...
N6463,...,...,...,Sw IV,17,43,59,,-0.17,22,21.3,,+1.4,"eeF, S, R, v diffic, 2nd of 6",...
N6464,...,...,...,Sw I,17,44,13,,+0.67,29,01.9,,+1.4,"eeF, pS, R, s of 4 st",...
N6465,4338,1988,...,...,17,44,17,,+3.71,115,21.5,,+1.3,"eF, S (suspected)",...
N6466,...,...,...,Sw I,17,44,25,,+1.40,38,33.9,,+1.3,"eF, vS, R, bet 2 st",...
N6467,5881,...,...,m 352,17,44,27,,+2.65,72,25,,+1.3,"vF, vS, lE",...
N6468,5882,...,...,m 353,17,44,28,,+2.65,72,25,,+1.3,"vF, S, R",...
N6469,4339,3711,...,...,17,44,30,,+3.62,112,18.4,,+1.3,"Cl, pRi (in M Way)",...
N6470,...,...,...,Sw IV,17,44,34,,-0.17,22,20.2,,+1.3,"eeF, vS, R, v diffic, 3rd of 6",...
